# CELLxGENE census 2023-05-15 — census_info/datasets, as served from s3://cellxgene-census-public-us-west-2/cell-census/2023-05-15/soma/
# census_build_date=2023-05-15 total_cell_count=57880760 unique_cell_count=36673205 datasets=562
# Regenerate with scripts/snapshot_census.py; rows sorted by dataset_id so the bytes are reproducible.
dataset_id,collection_id,collection_name,collection_doi,dataset_title,dataset_total_cell_count
1a018108-b4b6-457b-ba15-046d5e98c169,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO,21534
1a0610d8-1339-479b-b261-7fb586c3dab9,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Trachea - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,7976
1a2e3350-28a8-4f49-b33c-5b67ceb001f6,793fdaec-5067-428a-a9db-ecefe135c945,Blood and immune development in human fetal bone marrow and Down syndrome,10.1038/s41586-021-03929-x,Fetal Bone Marrow (10x),103228
1b699e04-1127-42ea-998b-011ace4a5b81,e3f391f6-5a75-4e96-8450-da47c3d2a939,COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,,"T cells -- CV19 infection, vaccination and HC",98068
1b767f95-d0a0-4a3d-b394-cc665d86c3dc,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST,34933
1b9d8702-5af8-4142-85ed-020eb06ec4f6,62ef75e4-cbea-454e-a0ce-998ec40223d3,Cross-tissue immune cell analysis reveals tissue-specific features in humans,10.1126/science.abl5197,Global,329762
1c05b7ae-4dfb-4c1b-a441-4b23c04b169e,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,,OPC - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),29176
1c739a3e-c3f5-49d5-98e0-73975e751201,8191c283-0816-424b-9b61-c3e1d6258a77,Spatial multi-omic map of human myocardial infarction,10.1038/s41586-022-05060-x,All-snRNA-Spatial multi-omic map of human myocardial infarction,191795
1cf24082-59de-4029-ac81-6e398768af3a,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,29522
1d29fd10-c8b3-4611-b0ac-3c578125adbf,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Skin of body - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,4860
1e5bd3b8-6a0e-4959-8d69-cafed30fe814,03cdc7f4-bd08-49d0-a395-4487c0e5a168,Emphysema Cell Atlas,10.1016/j.immuni.2023.01.032,immune cells,35699
1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,edb893ee-4066-4128-9aec-5eb2b03f8287,High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer,10.1016/j.ccell.2022.10.008,The single-cell lung cancer atlas (LuCA) -- extended atlas,1283972
1efd4700-87dd-4b45-8762-11ba3fea7a65,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Heart - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,9669
1f1c5c14-5949-4c81-b28e-b272e271b672,2902f08c-f83c-470e-a541-e463e25e5058,Single-cell reconstruction of follicular remodeling in the human adult ovary,10.1038/s41467-019-11036-9,Single-cell reconstruction of follicular remodeling in the human adult ovary,20676
1fe63353-9e75-4824-aa30-ed8d84be748c,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Heart - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,8613
20634fa3-f3cf-44b5-8bc3-b825610bfe8c,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Mouse Epithelial Cells,42905
20980d73-7c53-4039-b852-b76a01566d5a,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,33484
20d87640-4be8-487f-93d4-dce38378d00f,120e86b4-1195-48c5-845b-b98054105eec,Spatiotemporal immune zonation of the human kidney,10.1126/science.aat5031,Mature kidney dataset: immune,7803
214bf9eb-93db-48c8-8e3c-9bb22fa3bc63,03cdc7f4-bd08-49d0-a395-4487c0e5a168,Emphysema Cell Atlas,10.1016/j.immuni.2023.01.032,AT2 cells,3662
2185eb07-22e2-4209-b3c8-7111afc6aa90,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Supercluster: Oligodendrocyte precursor,105734
218acb0f-9f2f-4f76-b90b-15a4b7c7f629,436154da-bcf1-4130-9c8b-120ff9a888f2,Single-cell RNA-seq reveals the cell-type-specific molecular and genetic associations to lupus,10.1126/science.abf1970,multiplexed scRNA-seq of 1.2 million PBMCs from adult lupus samples,1263676
2190bd4d-3be0-4bf7-8ca8-8d6f71228936,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Supercluster: Midbrain-derived inhibitory,126782
21d3e683-80a4-4d9b-bc89-ebb2df513dde,ed9185e3-5b82-40c7-9824-b2141590c7f0,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19,10.1016/j.cell.2021.02.018,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Adaptive Cells,246964
22658f4f-9268-41ad-8828-cc53f4baa9fa,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Hypothalamus (HTH) - supraoptic region of HTH - HTHso,12557
232f6a5a-a04c-4758-a6e8-88ab2e3a6e69,edb893ee-4066-4128-9aec-5eb2b03f8287,High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer,10.1016/j.ccell.2022.10.008,The single-cell lung cancer atlas (LuCA) -- core atlas,892296
236baeda-5fdd-41bf-8e32-bae21ac7d435,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,,VLMC - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),3937
24066994-8183-488d-b037-ef6bb524af39,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG oligodendrocyte,15772
248cf7bf-508b-4c28-a2fd-cabe2ab956aa,ff668d5d-5b3f-49ee-a007-ff0664bf35ec,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,10.1084/jem.20191130,Ileum,5980
2491629a-bde0-46ad-a073-e34fcb516857,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Large intestine - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,8311
24ec2dc5-3573-4d66-a9e1-25b7dcf43e27,48259aa8-f168-4bf5-b797-af8e88da6637,Human breast cell atlas,10.1101/2023.04.21.537845,HBCA - immune,23714
2672b679-8048-4f5e-9786-f1b196ccfd08,4d74781b-8186-4c9a-b659-ff4dc4601d91,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",10.1186/s13059-019-1906-x,Lung Parenchyma,57019
26ae14da-9e5f-4d18-abae-18a5a328feef,9c8808ce-1138-4dbe-818c-171cff10e650,A single-cell transcriptional roadmap of the mouse and human lymph node lymphatic vasculature,10.3389/fcvm.2020.00052,A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature - mouse,5625
2727d83a-0af0-443a-bff8-58dc7028289a,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: Entorhinal Cortex,42528
27d91086-cfe3-4e33-9282-bd1246e5ce8e,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,39696
2872f4b0-b171-46e2-abc6-befcf6de6306,7681c7d7-0168-4892-a547-6f02a6430ace,Distinct microbial and immune niches of the human colon,10.1038/s41590-020-0602-z,Colon,41650
28c696bb-9549-434b-9340-dc745a846f9a,45f0f67d-4b69-4a3c-a4e8-a63b962e843f,Shared and distinct transcriptomic cell types across neocortical areas,10.1038/s41586-018-0654-5,Shared and distinct transcriptomic cell types across neocortical areas,22375
290d50c7-7158-4198-acf5-6d4b624fd3dc,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,Human Germ Cells,10993
2a262b59-7936-4ecd-b656-248247a0559f,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Mouse Cells,62415
2a498ace-872a-4935-984b-1afa70fd9886,03f821b4-87be-4ff4-b65a-b5fc00061da7,Local and systemic responses to SARS-CoV-2 infection in children and adults,10.1038/s41586-021-04345-x,PBMC,422220
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,10778
2aa1c93c-4ef3-4e9a-98e7-0bd37933953c,b1a879f6-5638-48d3-8f64-f6592c1b1561,Mapping the developing human immune system across organs,10.1126/science.abo0510,Myeloid cells,218758
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,38833785-fac5-48fd-944a-0f62a4c23ed1,Construction of a human cell landscape at single-cell level,10.1038/s41586-020-2157-4,Construction of a human cell landscape at single-cell level,598266
2aef80da-acb4-4e15-8f7d-6c0322b86b2f,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Mouse Cells,47435
